सामवेद	सामवेद-१८७५	सामवेद ऋषि-२४४	सामवेद छन्द-५०	सामवेद देवता-५७	सामवेद स्वर-८
१	ओ३म् अग्न आ याहि वीतये गृणानो हव्यदातये। नि होता सत्सि बर्हिषि॥१	भरद्वाजो बार्हस्पत्यः	गायत्री	अग्निः	षड्जः
२	ओ३म् त्वमग्ने यज्ञाना होता विश्वेषा हितः। देवेभिर्मानुषे जने॥२ 	भरद्वाजो बार्हस्पत्यः	गायत्री	अग्निः	षड्जः
३	ओ३म् अग्निं दूतं वृणीमहे होतारं विश्ववेदसम्। अस्य यज्ञस्य सुक्रतुम्॥३	मेधातिथिः काण्वः	गायत्री	अग्निः	षड्जः
४	ओ३म् अग्निर्वृत्राणि जङ्घनद्द्रविणस्युर्विपन्यया। समिद्धः शुक्र आहुतः॥४	भरद्वाजो बार्हस्पत्यः	गायत्री	अग्निः	षड्जः
५	ओ३म् प्रेष्ठं वो अतिथि स्तुषे मित्रमिव प्रियम्। अग्ने रथं न वेद्यम्॥५	उशना काव्यः	गायत्री	अग्निः	षड्जः
६	ओ३म् त्वं नो अग्ने महोभिः पाहि विश्वस्या अरातेः। उत द्विषो मर्त्यस्य॥६	सुदीतिपुरुमीढावाङ्गिरसौ तयोर्वान्यतरः	गायत्री	अग्निः	षड्जः
७	ओ३म् एह्यू षु ब्रवाणि तेऽग्न इत्थेतरा गिर। एभिर्वर्धास इन्दुभिः॥७	भरद्वाजो बार्हस्पत्यः	गायत्री	अग्निः	षड्जः
८	ओ३म् आ ते वत्सो मनो यमत्परमाच्चित्सधस्थात्। अग्ने त्वां कामये गिरा॥८	वत्सः काण्वः	गायत्री	अग्निः	षड्जः
९	ओ३म् त्वामग्ने पुष्करादध्यथर्वा निरमन्थत। मूर्ध्नो विश्वस्य वाघत॥९	भरद्वाजो बार्हस्पत्यः	गायत्री	अग्निः	षड्जः
१०	ओ३म् अग्ने विवस्वदा भरास्मभ्यमूतये महे। देवो ह्यसि नो दृशे॥१०	वामदेवः	गायत्री	अग्निः	षड्जः
११	ओ३म् नमस्ते अग्न ओजसे गृणन्ति देव कृष्टय। अमैरमित्रमर्दय॥११	आयुङ्क्ष्वाहिः	गायत्री	अग्निः	षड्जः
१२	ओ३म् दूतं वो विश्ववेदस हव्यवाहममर्त्यम्। यजिष्ठमृञ्जसे गिरा॥१२	वामदेवो गौतमः	गायत्री	अग्निः	षड्जः
१३	ओ३म् उप त्वा जामयो गिरो देदिशतीर्हविष्कृत। वायोरनीके अस्थिरन्॥१३	प्रयोगो भार्गवः	गायत्री	अग्निः	षड्जः
१४	ओ३म् उप त्वाग्ने दिवेदिवे दोषावस्तर्धिया वयम्। नमो भरन्त एमसि॥१४	मधुच्छन्दा वैश्वामित्रः	गायत्री	अग्निः	षड्जः
१५	ओ३म् जराबोध तद्विविड्ढि विशेविशे यज्ञियाय। स्तोम रुद्राय दृशीकम्॥१५	शुनः शेप आजीगर्तिः	गायत्री	अग्निः	षड्जः
१६	ओ३म् प्रति त्यं चारुमध्वरं गोपीथाय प्र हूयसे। मरुद्भिरग्न आ गहि॥१६	मेधातिथिः काण्वः	गायत्री	अग्निः	षड्जः
१७	ओ३म् अश्वं न त्वा वारवन्तं वन्दध्या अग्निं नमोभिः। सम्राजन्तमध्वराणाम्॥१७	शुनः शेप आजीगर्तिः	गायत्री	अग्निः	षड्जः
१८	ओ३म् और्वभृगुवच्छुचिमप्नवानवदा हुवे। अग्नि समुद्रवाससम्॥१८	प्रयोगो भार्गवः	गायत्री	अग्निः	षड्जः
१९	ओ३म् अग्निमिन्धानो मनसा धिय सचेत मर्त्य। अग्निमिन्धे विवस्वभिः॥१९	प्रयोगो भार्गवः	गायत्री	अग्निः	षड्जः
२०	ओ३म् आदित्प्रत्नस्य रेतसो ज्योत पश्यन्ति वासरम्। परो यदिध्यते दिवि॥२०	वत्सः काण्वः	गायत्री	अग्निः	षड्जः
२१	ओ३म् अग्निं वो वृधन्तमध्वराणां पुरूतमम्। अच्छा नप्त्रे सहस्वते॥२१	प्रयोगो भार्गवः	गायत्री	अग्निः	षड्जः
